NGC 1380 Data  -- sky=[11,15] apcor=0.572000 lamOIII=5038.29
#name     p KILL  x      y       ra         dec       PN-MAG   magerr1   mag5   magerr5    GAL     lambda   seeing aper FLUX-GAL V-DISP 
  CX69    C  . 247.00  352.06  54.11377  -34.9683     27.87   0.096     27.83   0.123     25.35     5034.42   0.75   3   3.71E-17  135.
  CX91    C  . 197.65  138.86  54.11712  -34.9801     27.88   0.126     28.03   0.165     24.71     5035.89   0.75   3   6.64E-17  180.
  CX76    C  . 134.78  280.11  54.12138  -34.9723     27.90   0.087     27.78   0.102     25.65     5036.16   0.75   3   2.80E-17  135.
  CX77    C  . 226.53  342.01  54.11516  -34.9689     27.90   0.109     27.77   0.135     25.15     5035.83   0.75   3   4.45E-17  160.
  CX83    C  . 367.94  207.70  54.10557  -34.9763     27.91   0.076     27.94   0.097     26.27     5039.66   0.75   3   1.59E-17  135.
  CX86    C  . 218.97  404.76  54.11567  -34.9654     27.92   0.096     27.78   0.121     25.74     5034.12   0.75   3   2.58E-17  135.
 CX145    C  . 135.15  234.71  54.12135  -34.9748     27.93   0.104     27.95   0.147     25.49     5034.79   0.75   3   3.24E-17  135.
 CX106    C  . 220.57  306.86  54.11556  -34.9708     27.93   0.128     28.07   0.188     24.70     5036.93   0.75   3   6.76E-17  180.
  CX92    C  . 293.33  104.61  54.11063  -34.9820     27.95   0.111     27.76   0.127     25.30     5039.56   0.75   3   3.88E-17  135.
  CX81    C  . 336.10  149.55  54.10773  -34.9795     27.97   0.097     27.94   0.114     25.76     5040.41   0.75   3   2.53E-17  140.
  CX90    C  . 209.08  273.56  54.11634  -34.9727     27.98   0.172     27.93   0.214     24.24     5035.10   0.75   3   1.03E-16  180.
  CX79    C  . 302.01  313.16  54.11004  -34.9705     27.99   0.102     27.88   0.118     25.58     5036.09   0.75   3   3.00E-17  135.
 CX121    C  . 241.04   64.91  54.11417  -34.9842     28.01   0.116     28.19   0.177     25.33     5038.62   0.75   3   3.78E-17  140.
  CX96    C  . 345.76  262.05  54.10707  -34.9733     28.07   0.094     28.13   0.141     26.02     5036.89   0.75   3   1.99E-17  135.
 CX113    C  . 150.70  109.11  54.12030  -34.9818     28.12   0.110     28.03   0.140     25.77     5039.29   0.75   3   2.51E-17  130.
 CX149    C  . 353.99  249.90  54.10652  -34.9740     28.12   0.098     28.16   0.144     26.13     5037.96   0.75   3   1.80E-17  135.
  CX95    C  . 119.17  318.75  54.12244  -34.9701     28.22   0.124     27.58   0.083     26.10     5033.74   0.75   3   1.85E-17  135.
 CX109    C  . 310.23  206.66  54.10948  -34.9764     28.22   0.146     28.04   0.161     25.11     5036.97   0.75   3   4.63E-17  145.
  CX93    C  .  46.10  226.80  54.12739  -34.9753     28.26   0.099     27.98   0.096     26.91     5037.07   0.75   3   8.79E-18  125.
  CX82    C  . 214.43  365.31  54.11598  -34.9676     28.26   0.134     27.81   0.120     25.39     5036.05   0.75   3   3.57E-17  140.
 CX143    C  . 105.83  251.85  54.12334  -34.9739     28.26   0.111     28.45   0.166     26.13     5034.56   0.75   3   1.80E-17  135.
 CX153    C  . 401.13  232.75  54.10332  -34.9749     28.34   0.111     28.30   0.134     26.77     5040.10   0.75   3   9.96E-18  135.
 CX141    C  . 217.01  329.91  54.11580  -34.9695     28.47   0.188     28.08   0.163     25.01     5037.23   0.75   3   5.04E-17  155.
 CX101    C  .  63.00  232.80  54.12625  -34.9749     28.47   0.117     28.44   0.142     26.71     5038.55   0.75   3   1.05E-17  140.
 CX100    C  . 235.08  104.76  54.11458  -34.9820     28.50   0.199     28.20   0.200     24.89     5041.56   0.75   3   5.66E-17  155.
 CX148    C  . 379.07  237.70  54.10482  -34.9746     28.59   0.131     28.48   0.141     26.50     5037.57   0.75   3   1.28E-17  140.
 CX146    C  .  64.60  252.55  54.12614  -34.9738     28.97   0.193     28.27   0.139     26.71     5034.78   0.75   3   1.06E-17  135.
